global_step,epoch,nsamples,wall_time,loss
0,0.0,0,4.607072591781616,0.29715222120285034
1,0.5,1792,5.619182586669922,0.23921556770801544
2,1.0,3584,6.760802745819092,0.19906626641750336
3,1.5,5376,7.764726877212524,0.22464479506015778
4,2.0,7168,8.925675392150879,0.194322407245636
5,2.5,8960,9.930395364761353,0.22958767414093018
6,3.0,10752,11.093749284744263,0.24040886759757996
7,3.5,12544,12.096150636672974,0.24136020243167877
8,4.0,14336,13.252553701400757,0.20089712738990784
9,4.5,16128,14.259835481643677,0.18660256266593933
10,5.0,17920,15.422493696212769,0.17359082400798798
11,5.5,19712,16.428354740142822,0.17223913967609406
12,6.0,21504,17.590665340423584,0.18795038759708405
13,6.5,23296,18.598044872283936,0.1563679277896881
14,7.0,25088,19.761097192764282,0.1563096046447754
15,7.5,26880,20.76464557647705,0.16000822186470032
16,8.0,28672,21.9478600025177,0.16230246424674988
17,8.5,30464,22.93843173980713,0.1401166170835495
18,9.0,32256,24.104821920394897,0.1192905455827713
19,9.5,34048,25.112190008163452,0.12101377546787262
20,10.0,35840,26.324867963790894,0.11679874360561371
21,10.5,37632,27.31865429878235,0.10737128555774689
22,11.0,39424,28.481019258499146,0.0974656417965889
23,11.5,41216,29.48886251449585,0.10687236487865448
24,12.0,43008,30.65444850921631,0.1056540459394455
25,12.5,44800,31.659648895263672,0.1010451465845108
26,13.0,46592,32.85281038284302,0.09174899756908417
27,13.5,48384,33.843914270401,0.08391139656305313
28,14.0,50176,35.02728247642517,0.08998154103755951
29,14.5,51968,36.02023792266846,0.08028677850961685
30,15.0,53760,37.18639659881592,0.08665452152490616
31,15.5,55552,38.19286060333252,0.07446757704019547
32,16.0,57344,39.356600522994995,0.07845326513051987
33,16.5,59136,40.365846395492554,0.07923519611358643
34,17.0,60928,41.53202986717224,0.07462944835424423
35,17.5,62720,42.54735779762268,0.06188156083226204
36,18.0,64512,43.720914125442505,0.06560420244932175
37,18.5,66304,44.72284531593323,0.06642754375934601
38,19.0,68096,45.89063119888306,0.06931975483894348
39,19.5,69888,46.90804719924927,0.06965827196836472
40,20.0,71680,48.07357382774353,0.06342543661594391
41,20.5,73472,49.096071004867554,0.06614767760038376
42,21.0,75264,50.2762348651886,0.055978238582611084
43,21.5,77056,51.272650480270386,0.06450588256120682
44,22.0,78848,52.440997838974,0.059688083827495575
45,22.5,80640,53.44810247421265,0.055711764842271805
46,23.0,82432,54.61314344406128,0.051789648830890656
